setid,Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Temperature, K","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wBfJp,0,101,296.267,632.8,1.3823,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.021,101,296.267,632.8,1.3854,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.056,101,296.267,632.8,1.3896,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.097,101,296.267,632.8,1.3935,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.142,101,296.267,632.8,1.3971,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.149,101,296.267,632.8,1.3977,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.192,101,296.267,632.8,1.4006,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.243,101,296.267,632.8,1.4036,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.306,101,296.267,632.8,1.4064,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.397,101,296.267,632.8,1.4099,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.502,101,296.267,632.8,1.4131,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.699,101,296.267,632.8,1.4174,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,0.855,101,296.267,632.8,1.4199,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
wBfJp,1,101,296.267,632.8,1.4222,Wang et al. (2014c),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
