setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
zbcaw,307.136,0.433,100,632.8,1.4106,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,309.107,0.412,100,632.8,1.4094,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,310.692,0.399,100,632.8,1.4085,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,312.126,0.38,100,632.8,1.4075,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,313.37,0.367,100,632.8,1.4067,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,314.433,0.356,100,632.8,1.406,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,315.439,0.345,100,632.8,1.4053,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,316.374,0.329,100,632.8,1.4045,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,317.197,0.319,100,632.8,1.4039,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,317.903,0.305,100,632.8,1.4032,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
zbcaw,318.52,0.294,100,632.8,1.4026,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
