setid,"Temperature, K","Pressure, kPa","Mole ratio to solvent: 1,2-ethanediol",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bEdnV,283.15,101.3,2.01,1.48873,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,288.15,101.3,2.01,1.48741,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,293.15,101.3,2.01,1.48612,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,298.15,101.3,2.01,1.48483,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,303.15,101.3,2.01,1.48373,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,308.15,101.3,2.01,1.48243,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,313.15,101.3,2.01,1.48112,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,318.15,101.3,2.01,1.47985,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,323.15,101.3,2.01,1.47857,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,328.15,101.3,2.01,1.4773,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,333.15,101.3,2.01,1.47603,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,338.15,101.3,2.01,1.47472,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
bEdnV,343.15,101.3,2.01,1.4734,Kazarina et al. (2023b),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
