setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
AzIYE,0,298.15,101,1.36,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.098,298.15,101,1.3833,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.1998,298.15,101,1.3959,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.3,298.15,101,1.4062,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.3991,298.15,101,1.4123,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.5079,298.15,101,1.4157,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.6123,298.15,101,1.421,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.702,298.15,101,1.4222,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.803,298.15,101,1.4243,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,0.8596,298.15,101,1.4258,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
AzIYE,1,298.15,101,1.4283,Rilo et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
