setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EIoqb,0.1,283.15,101,1.475,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,288.15,101,1.4738,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,293.15,101,1.4725,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,298.15,101,1.471,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,303.15,101,1.4697,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,308.15,101,1.4685,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,313.15,101,1.467,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,318.15,101,1.4655,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,323.15,101,1.4645,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,328.15,101,1.463,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,333.15,101,1.4615,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,338.15,101,1.4603,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.1,343.15,101,1.459,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.165,283.15,101,1.4725,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.165,288.15,101,1.4715,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
EIoqb,0.165,293.15,101,1.47,Mokhtarani et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAtunD,CCCC[n+]1ccn(C)c1.[O-]Cl(=O)(=O)=O,1-butyl-3-methylimidazolium perchlorate,,,,
