setid,Mole fraction of butanone,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hsBSd,0.0488,100,298.15,1.4821,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.1,100,298.15,1.4807,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.1993,100,298.15,1.4793,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.2996,100,298.15,1.477,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.4001,100,298.15,1.4744,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.4996,100,298.15,1.469,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.5996,100,298.15,1.4635,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.7,100,298.15,1.4566,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.8,100,298.15,1.4465,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.9,100,298.15,1.4269,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
hsBSd,0.9501,100,298.15,1.4111,Lee et al. (2017),Refractive index,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,
