setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Jpmuy,0.0226,298.15,100,1.4283,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.0468,298.15,100,1.429,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.06,298.15,100,1.4295,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.0797,298.15,100,1.4297,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.1002,298.15,100,1.43,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.1216,298.15,100,1.4303,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.141,298.15,100,1.4307,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.1621,298.15,100,1.431,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.1781,298.15,100,1.4312,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
Jpmuy,0.2012,298.15,100,1.432,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,,
