setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
unPXD,0.0459,101,298.15,1.38385,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.0892,101,298.15,1.39059,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.182,101,298.15,1.40147,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.2506,101,298.15,1.40743,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.2965,101,298.15,1.41077,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.3677,101,298.15,1.41503,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.4214,101,298.15,1.41781,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.4798,101,298.15,1.42048,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.5028,101,298.15,1.42134,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.6166,101,298.15,1.42547,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.7089,101,298.15,1.42817,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.7558,101,298.15,1.42938,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
unPXD,0.8697,101,298.15,1.43182,Arce et al. (2006b),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
