setid,"Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nKRxO,0,100,298.15,1.3331,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.0511,100,298.15,1.3973,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.0991,100,298.15,1.4278,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.207,100,298.15,1.4589,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.3005,100,298.15,1.4722,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.3834,100,298.15,1.4787,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.4978,100,298.15,1.485,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.6356,100,298.15,1.4889,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.8019,100,298.15,1.4922,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,0.8984,100,298.15,1.4923,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
nKRxO,1,100,298.15,1.4943,Ye et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,,
