setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Solvent: MolaLity of N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
yZtWT,0.0228,0.182,298.15,101,1.434,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0268,0,298.15,101,1.4289,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0271,0.0484,298.15,101,1.4307,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0282,0.0941,298.15,101,1.4318,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0283,0.1508,298.15,101,1.4334,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0417,0.0484,298.15,101,1.4311,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0431,0.0941,298.15,101,1.4324,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0433,0.1508,298.15,101,1.4338,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0436,0.182,298.15,101,1.4349,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0444,0,298.15,101,1.4296,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0599,0.0484,298.15,101,1.4314,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0603,0.0941,298.15,101,1.4326,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
yZtWT,0.0617,0.182,298.15,101,1.4354,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,
