setid,"Temperature, K",Mole fraction of 3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
fGVHS,293.15,0,101,1.36169,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.0523,101,1.39603,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.1045,101,1.42225,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.2014,101,1.45258,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.2925,101,1.47272,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.4024,101,1.49017,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.4781,101,1.49936,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.578,101,1.50945,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.6822,101,1.51735,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
fGVHS,293.15,0.7926,101,1.52393,Taib et al. (2012),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,
