setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
pljVt,303.15,9,101,1.482,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,303.15,10,101,1.483,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,303.15,11,101,1.477,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,313.15,9,101,1.479,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,313.15,10,101,1.48,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,313.15,11,101,1.475,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,323.15,9,101,1.476,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,323.15,10,101,1.477,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,323.15,11,101,1.472,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,333.15,9,101,1.473,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,333.15,10,101,1.474,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,333.15,11,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,343.15,9,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,343.15,10,101,1.471,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,343.15,11,101,1.467,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,353.15,9,101,1.466,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,353.15,10,101,1.468,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
pljVt,353.15,11,101,1.464,Mjalli et al. (2016),Refractive index,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
