setid,"Temperature, K",Weight fraction of water,Weight fraction of acetone,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rUxaC,293.2,0.0142,0,81.5,1.4164,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.019,0.0516,81.5,1.41325,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0238,0.1004,81.5,1.41005,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0302,0.1458,81.5,1.4072,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0396,0.1937,81.5,1.40375,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0517,0.2401,81.5,1.4001,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0727,0.2803,81.5,1.39745,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.0936,0.3183,81.5,1.39405,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.1252,0.3508,81.5,1.39185,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
rUxaC,293.2,0.5395,0.3583,81.5,1.36305,Saien et al. (2015a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AADYJk,O,water,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,
