setid,Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of potassium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JvhaY,0,0.2792,101,298.15,1.35915,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.0665,0.1828,101,298.15,1.36676,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.1412,0.1319,101,298.15,1.37546,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.2178,0.1077,101,298.15,1.38569,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.2982,0.0836,101,298.15,1.39661,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.3801,0.0654,101,298.15,1.41036,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.4633,0.0508,101,298.15,1.42368,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.5481,0.0375,101,298.15,1.43691,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.6326,0.028,101,298.15,1.45206,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.7177,0.0197,101,298.15,1.47612,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
JvhaY,0.8026,0.0134,101,298.15,1.49716,Li et al. (2016d),Refractive index,Liquid,AADYJk,O,water,AATXuS,O=[N+]([O-])[O-].[K+],potassium nitrate,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,
