setid,Weight fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Fzdyv,0,101,298.15,1.422,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0098,101,298.15,1.4206,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0167,101,298.15,1.4194,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0205,101,298.15,1.4191,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.029,101,298.15,1.418,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0396,101,298.15,1.4169,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0585,101,298.15,1.4141,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.0982,101,298.15,1.4094,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.154,101,298.15,1.4033,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.2046,101,298.15,1.398,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.2517,101,298.15,1.3934,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.3043,101,298.15,1.3883,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.3966,101,298.15,1.3801,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.5061,101,298.15,1.3705,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.6986,101,298.15,1.3549,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,0.8897,101,298.15,1.3406,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
Fzdyv,1,101,298.15,1.3325,Navarro et al. (2012),Refractive index,Liquid,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,
