setid,"MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
nAlEZ,0.0201,298.15,101,1.4291,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.0409,298.15,101,1.4297,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.0618,298.15,101,1.4299,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.0853,298.15,101,1.4309,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.1009,298.15,101,1.4312,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.1186,298.15,101,1.4317,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.1433,298.15,101,1.432,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.161,298.15,101,1.4323,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.1798,298.15,101,1.4329,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
nAlEZ,0.205,298.15,101,1.4333,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,,
