setid,"Temperature, K",Mole fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Asmus,293.15,0,99,1.33297,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.0165,99,1.34819,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.0379,99,1.36348,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.0863,99,1.38639,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.101,99,1.39141,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.134,99,1.40063,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.243,99,1.41888,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.289,99,1.42371,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.3456,99,1.42826,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.4217,99,1.43287,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.5485,99,1.43815,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.6029,99,1.43987,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.7232,99,1.44283,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.8005,99,1.44431,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.8575,99,1.44526,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,0.9315,99,1.44633,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
Asmus,293.15,1,99,1.44719,Anton et al. (2016),Refractive index,Liquid,AADYJk,O,water,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
