setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UShPN,0,315.241,108,632.8,1.3509,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0,317.21,108,632.8,1.3501,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0,319.256,108,632.8,1.3492,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0,321.315,108,632.8,1.3483,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0,323.304,108,632.8,1.3474,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0,325.389,108,632.8,1.3465,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.1,325.417,108,632.8,1.3647,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.1,326.639,108,632.8,1.3643,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.1,327.861,108,632.8,1.3639,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.1,328.912,108,632.8,1.3636,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.1,329.441,108,632.8,1.3634,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.2,323.584,108,632.8,1.3759,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.2,324.555,108,632.8,1.3756,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.2,325.63,108,632.8,1.3753,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.2,327.045,108,632.8,1.3748,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.2,328.273,108,632.8,1.3744,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,320.244,108,632.8,1.3841,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,321.273,108,632.8,1.3838,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,322.243,108,632.8,1.3835,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,323.254,108,632.8,1.3832,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,324.257,108,632.8,1.3828,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,325.313,108,632.8,1.3825,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,326.514,108,632.8,1.3822,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.3,327.748,108,632.8,1.3817,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.4,320.239,108,632.8,1.3889,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
UShPN,0.4,321.294,108,632.8,1.3886,Guo et al. (2017b),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAIsrh,CCO,ethanol,,,,
