setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
STBSB,288.15,0,101,1.33352,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.05008,101,1.37531,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.09882,101,1.39427,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.15104,101,1.40522,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.19932,101,1.41191,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.29969,101,1.41984,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.39694,101,1.42477,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.49924,101,1.42806,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.58961,101,1.4302,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
STBSB,288.15,0.69426,101,1.4319,Vercher et al. (2011a),Refractive index,Liquid,AADYJk,O,water,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,,
