setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Rykjc,313.15,8,101,1.476,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,313.15,9,101,1.476,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,313.15,10,101,1.476,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,323.15,8,101,1.473,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,323.15,9,101,1.473,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,323.15,10,101,1.473,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,333.15,8,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,333.15,9,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,333.15,10,101,1.469,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,343.15,8,101,1.466,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,343.15,9,101,1.467,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,343.15,10,101,1.466,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,353.15,8,101,1.463,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,353.15,9,101,1.464,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
Rykjc,353.15,10,101,1.464,Mjalli et al. (2016),Refractive index,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,
