setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hejnA,0.0115,101,298.15,1.3327,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0214,101,298.15,1.3334,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0316,101,298.15,1.3337,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0406,101,298.15,1.3341,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0523,101,298.15,1.3347,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0618,101,298.15,1.3349,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0701,101,298.15,1.3356,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0806,101,298.15,1.3359,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.0908,101,298.15,1.3361,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.1015,101,298.15,1.3364,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.201,101,298.15,1.3394,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.3014,101,298.15,1.3429,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.3998,101,298.15,1.3463,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.493,101,298.15,1.3487,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.6034,101,298.15,1.3507,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.7013,101,298.15,1.3549,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,0.8036,101,298.15,1.3581,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
hejnA,1.001,101,298.15,1.3631,Mohammadi et al. (2021),Refractive index,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AADYJk,O,water,,,,
