setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
wjviF,298.15,0.029,101.3,1.3999,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.0583,101.3,1.4023,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.1003,101.3,1.4053,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.1981,101.3,1.4115,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.2981,101.3,1.417,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.399,101.3,1.4217,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.497,101.3,1.4256,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.6489,101.3,1.4314,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.7984,101.3,1.4366,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
wjviF,298.15,0.9003,101.3,1.4399,Xu et al. (2012b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,,
