setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of bis(3-aminopropyl)amine, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
IScvo,298.15,2,0,101,1.3795,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,298.15,2,1,101,1.3925,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,298.15,2.25,0,101,1.3836,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,298.15,2.25,0.75,101,1.3934,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,298.15,2.5,0,101,1.3873,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,298.15,2.5,0.5,101,1.3939,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2,0,101,1.3784,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2,1,101,1.3914,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2.25,0,101,1.3825,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2.25,0.75,101,1.3923,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2.5,0,101,1.3862,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,303.15,2.5,0.5,101,1.3927,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2,0,101,1.3775,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2,1,101,1.3903,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2.25,0,101,1.3813,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2.25,0.75,101,1.391,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2.5,0,101,1.3852,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,308.15,2.5,0.5,101,1.392,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,313.15,2,0,101,1.3763,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,313.15,2,1,101,1.389,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,313.15,2.25,0,101,1.3802,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,313.15,2.25,0.75,101,1.3899,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
IScvo,313.15,2.5,0,101,1.384,Balchandani et al. (2020),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAZMIG,NCCCNCCCN,bis(3-aminopropyl)amine,AADYJk,O,water,
