setid,"MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Solvent: MolaLity of N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ErpjE,0,0,298.15,100,1.4278,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0,0.0471,298.15,100,1.4291,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0,0.091,298.15,100,1.43,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0,0.1327,298.15,100,1.4317,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0,0.1768,298.15,100,1.433,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.0207,0.0471,298.15,100,1.4296,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.0208,0.1327,298.15,100,1.4323,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.0226,0,298.15,100,1.4283,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.0269,0.091,298.15,100,1.4303,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.028,0.1768,298.15,100,1.4337,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
ErpjE,0.0394,0.0471,298.15,100,1.4299,Shekaari et al. (2015a),Refractive index,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,
