setid,Mole fraction of dimethyl carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
lHwre,0,298.15,101,1.47908,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.0502,298.15,101,1.47687,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.0999,298.15,101,1.47443,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.1987,298.15,101,1.46971,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.2999,298.15,101,1.46385,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.3994,298.15,101,1.45729,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.5006,298.15,101,1.44906,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.5999,298.15,101,1.43953,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,0.7001,298.15,101,1.42848,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
lHwre,1,298.15,101,1.36647,Kim et al. (2010),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
