setid,Mole fraction of propan-2-ol,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hoZyN,0.0353,0.9565,101,298.15,1.35229,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0389,0.9432,101,298.15,1.3633,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0434,0.9286,101,298.15,1.37318,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0505,0.9031,101,298.15,1.38754,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0579,0.875,101,298.15,1.39993,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0688,0.8355,101,298.15,1.41265,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0754,0.9166,101,298.15,1.35984,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0834,0.4648,101,298.15,1.46251,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0834,0.8995,101,298.15,1.36925,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.085,0.7786,101,298.15,1.42522,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0907,0.2737,101,298.15,1.46971,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0925,0.881,101,298.15,1.3775,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.0949,0.1426,101,298.15,1.47289,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.1066,0.8498,101,298.15,1.3893,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.1126,0.6808,101,298.15,1.43874,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.1209,0.8165,101,298.15,1.39946,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
hoZyN,0.1225,0.8699,101,298.15,1.3652,Gonzalez et al. (2008c),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,
