setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TYiXs,288.15,0,101,1.49968,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.096,101,1.49811,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.1277,101,1.49752,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.2116,101,1.4957,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.3077,101,1.49322,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.3942,101,1.49044,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.4952,101,1.48621,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.5023,101,1.4858,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.6047,101,1.4797,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.6137,101,1.47901,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.7061,101,1.47041,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.7177,101,1.46905,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.7571,101,1.46368,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.8208,101,1.45158,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.8468,101,1.44481,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.9034,101,1.42419,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.904,101,1.42386,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
TYiXs,288.15,0.9492,101,1.39597,Gonzalez et al. (2012b),Refractive index,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,,
