setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Sxdin,298.15,0,101,1.4042,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.0989,101,1.41416,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.2022,101,1.42016,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.3014,101,1.42373,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.3985,101,1.42607,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.5109,101,1.4279,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.5974,101,1.42888,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.6974,101,1.42974,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.8045,101,1.4305,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,0.8865,101,1.43095,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,298.15,1,101,1.43167,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0,101,1.39885,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.0989,101,1.41006,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.2022,101,1.41657,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.3014,101,1.42043,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.3985,101,1.42284,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.5109,101,1.42491,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.5974,101,1.42609,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.6974,101,1.427,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.8045,101,1.42774,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,0.8865,101,1.42822,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,308.15,1,101,1.4289,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0,101,1.39349,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0.0989,101,1.40595,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0.2022,101,1.41275,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0.3014,101,1.4171,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0.3985,101,1.41964,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
Sxdin,318.15,0.5109,101,1.42175,Ijardar and Malek (2014),Refractive index,Liquid,AANtst,C1CCOC1,tetrahydrofuran,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,
