setid,"Temperature, K",Mole fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
rwfoB,281.729,1,100,632.8,1.4481,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,282.035,0,100,632.8,1.3645,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,282.782,1,100,632.8,1.4478,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,283.113,0,100,632.8,1.364,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,284.035,0,100,632.8,1.3637,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,284.047,0.518,100,632.8,1.4307,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,284.14,1,100,632.8,1.4475,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,284.676,0.394,100,632.8,1.4224,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,285.333,0.518,100,632.8,1.4304,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
rwfoB,285.647,0,100,632.8,1.363,Tao et al. (2017a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
