setid,"Temperature, K",Weight fraction of trimethylbenzylammonium chloride,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
awZYi,298.15,0.001,100,1.3308,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,298.15,0.003,100,1.3314,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,298.15,0.005,100,1.3316,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,303.15,0.001,100,1.3305,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,303.15,0.003,100,1.3304,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,303.15,0.005,100,1.3309,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,308.15,0.001,100,1.3307,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,308.15,0.003,100,1.3308,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,308.15,0.005,100,1.331,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,313.15,0.001,100,1.3306,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,313.15,0.003,100,1.3309,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,313.15,0.005,100,1.3312,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,318.15,0.001,100,1.3304,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,318.15,0.003,100,1.331,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
awZYi,318.15,0.005,100,1.3311,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,,,,
