setid,Weight fraction of 1-ethyl-3-methylimidazolium bromide,Weight fraction of sodium nitrate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JLQRy,0,0.4718,101,298.15,1.38955,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.0541,0.3733,101,298.15,1.39473,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.1234,0.2852,101,298.15,1.40014,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.2032,0.2152,101,298.15,1.40623,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.2919,0.1544,101,298.15,1.41453,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.3837,0.1109,101,298.15,1.42416,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.4738,0.0852,101,298.15,1.43612,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.5655,0.064,101,298.15,1.45091,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.6585,0.0463,101,298.15,1.46903,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.7498,0.0348,101,298.15,1.49004,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
JLQRy,0.842,0.0245,101,298.15,1.51687,Li et al. (2016d),Refractive index,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
