setid,"Temperature, K","Pressure, kPa",Weight fraction of water,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TaSiW,298.15,101,0.065,1.4782,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,303.15,101,0.065,1.47646,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,308.15,101,0.065,1.47465,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,313.15,101,0.065,1.47289,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,318.15,101,0.065,1.47115,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,323.15,101,0.065,1.46939,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,328.15,101,0.065,1.46765,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,333.15,101,0.065,1.46587,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,338.15,101,0.065,1.46414,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,343.15,101,0.065,1.46244,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,348.15,101,0.065,1.46078,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
TaSiW,353.15,101,0.065,1.45926,Almeida et al. (2013),Refractive index,Liquid,AADYJk,O,water,ACEVSf,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetradecyltrihexylphosphonium bromide,,,,
