setid,Solvent: Weight fraction of tetrabutylphosphonium tetrafluoroborate,"MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Bhnub,0.001,0.1002,298.15,100,589.3,1.3327,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.001,0.1584,298.15,100,589.3,1.3331,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.001,0.2005,298.15,100,589.3,1.3334,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.001,0.2352,298.15,100,589.3,1.3337,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.001,0.2654,298.15,100,589.3,1.3334,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.001,0.2925,298.15,100,589.3,1.3343,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.003,0.1001,298.15,100,589.3,1.3338,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.003,0.1583,298.15,100,589.3,1.3342,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.003,0.2003,298.15,100,589.3,1.3345,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
Bhnub,0.003,0.235,298.15,100,589.3,1.3348,Roy et al. (2013c),Refractive index,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water,
