setid,Mole fraction of ethyl acetate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OniGY,0,101,303.15,1.4534,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.0454,101,303.15,1.4533,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.0956,101,303.15,1.4511,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.199,101,303.15,1.4472,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.2901,101,303.15,1.4411,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.412,101,303.15,1.4324,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.507,101,303.15,1.4246,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.6018,101,303.15,1.4161,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.7039,101,303.15,1.4055,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.8031,101,303.15,1.3949,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.8998,101,303.15,1.3812,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,0.9497,101,303.15,1.3746,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
OniGY,1,101,303.15,1.3672,Alvarez et al. (2013),Refractive index,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,,
