setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gCaoz,0.0496,101,298.15,1.3575,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.1016,101,298.15,1.3687,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.147,101,298.15,1.3754,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.2022,101,298.15,1.3819,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.2995,101,298.15,1.3902,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.3524,101,298.15,1.3934,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.4036,101,298.15,1.3959,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.4337,101,298.15,1.3974,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.4955,101,298.15,1.3998,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.5892,101,298.15,1.4024,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.6857,101,298.15,1.4048,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.8046,101,298.15,1.4068,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.8055,101,298.15,1.4069,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
gCaoz,0.9176,101,298.15,1.4084,Zafarani-Moattar and Majdan-Cegincara (2007),Refractive index,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
