setid,Mole fraction of propan-2-ol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
CPIOk,0,101,298.15,1.4794,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.1228,101,298.15,1.47434,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.2066,101,298.15,1.47057,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.309,101,298.15,1.46502,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.399,101,298.15,1.45926,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.4977,101,298.15,1.45177,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.6341,101,298.15,1.43881,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.7223,101,298.15,1.42818,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.8551,101,298.15,1.40784,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,0.9706,101,298.15,1.38306,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
CPIOk,1,101,298.15,1.37495,Gonzalez et al. (2007),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,
