setid,Mole fraction of water,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
dCFHb,0.2213,101,298.15,1.52469,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.308,101,298.15,1.51959,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.3852,101,298.15,1.51728,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.5017,101,298.15,1.51027,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.5976,101,298.15,1.50214,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.6987,101,298.15,1.48926,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.8012,101,298.15,1.4676,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.8967,101,298.15,1.43021,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,0.9504,101,298.15,1.39243,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
dCFHb,1,101,298.15,1.33251,Calvar et al. (2006),Refractive index,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,
