setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UurPg,0,298.15,101,1.38823,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.0538,298.15,101,1.3948,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.0932,298.15,101,1.39817,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.196,298.15,101,1.40449,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.2934,298.15,101,1.4085,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.3985,298.15,101,1.41141,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.4946,298.15,101,1.41337,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.5983,298.15,101,1.41465,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.7039,298.15,101,1.41579,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.7993,298.15,101,1.41661,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.8981,298.15,101,1.41719,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,0.9519,298.15,101,1.41763,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
UurPg,1,298.15,101,1.41787,Pereiro et al. (2006b),Refractive index,Liquid,AAQdGo,CCCC(C)=O,pentan-2-one,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
