setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
gfoQl,288.15,0.04957,101,1.37495,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.1005,101,1.38499,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.15027,101,1.39293,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.2007,101,1.39936,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.29948,101,1.40865,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.3973,101,1.41585,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.50181,101,1.42117,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.59957,101,1.42541,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.69728,101,1.42854,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.7733,101,1.43087,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.84521,101,1.43253,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.89879,101,1.43368,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,288.15,0.95593,101,1.43487,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.04957,101,1.36994,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.1005,101,1.38033,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.15027,101,1.38854,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.2007,101,1.39527,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.29948,101,1.40492,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.3973,101,1.41237,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.50181,101,1.41787,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.59957,101,1.42225,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.69728,101,1.42549,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.7733,101,1.42786,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.84521,101,1.42963,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.89879,101,1.43085,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,298.15,0.95593,101,1.43207,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
gfoQl,308.15,0.04957,101,1.36575,Vercher et al. (2010a),Refractive index,Liquid,AALIPU,CC(C)=O,acetone,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,,
