setid,"Temperature, K",Mole fraction of triethylpentylammonium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
JTOlG,283.15,0,101.3,1.4383,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,283.15,0.2,101.3,1.4365,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,283.15,0.4,101.3,1.4345,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,283.15,0.6,101.3,1.4326,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,283.15,0.8,101.3,1.4308,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,283.15,1,101.3,1.4288,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,0,101.3,1.4368,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,0.2,101.3,1.435,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,0.4,101.3,1.4331,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,0.6,101.3,1.4312,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,0.8,101.3,1.4293,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
JTOlG,288.15,1,101.3,1.4274,Seki et al. (2019),Refractive index,Liquid,ABjAjC,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,ABmOjS,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,,,,
