setid,Mole fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TcVqP,0,101.3,298.15,1.3279,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.0312,101.3,298.15,1.3456,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.049,101.3,298.15,1.3529,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.0913,101.3,298.15,1.3678,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.1505,101.3,298.15,1.3846,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.2376,101.3,298.15,1.4001,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.3454,101.3,298.15,1.4143,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.4619,101.3,298.15,1.4248,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.6084,101.3,298.15,1.431,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,0.8409,101.3,298.15,1.4391,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
TcVqP,1,101.3,298.15,1.442,Xu et al. (2011),Refractive index,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,
