setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
XKnoV,298.186,0,85,632.8,1.3818,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,298.186,1,85,632.8,1.4215,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,300.196,0,85,632.8,1.381,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,300.196,1,85,632.8,1.421,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,302.192,0,85,632.8,1.3802,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,302.192,1,85,632.8,1.4204,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,304.197,0,85,632.8,1.3793,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,304.197,1,85,632.8,1.4199,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.167,0.5,85,632.8,1.4114,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.17,0.3,85,632.8,1.4047,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.213,0.6,85,632.8,1.4137,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.22,0.801,85,632.8,1.4171,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.229,0.698,85,632.8,1.4154,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.257,0.899,85,632.8,1.4184,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,305.27,0.399,85,632.8,1.4084,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.178,0.6,85,632.8,1.4134,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.191,0.5,85,632.8,1.4111,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.196,0.801,85,632.8,1.4168,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.197,0.3,85,632.8,1.4044,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.204,0.399,85,632.8,1.4081,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.222,0,85,632.8,1.3785,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.222,1,85,632.8,1.4193,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.229,0.698,85,632.8,1.4151,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,306.245,0.899,85,632.8,1.4181,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.187,0.801,85,632.8,1.4165,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.188,0.3,85,632.8,1.404,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.208,0.6,85,632.8,1.4131,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.214,0.399,85,632.8,1.4078,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.236,0.698,85,632.8,1.4148,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.237,0.899,85,632.8,1.4178,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.29,0.2,85,632.8,1.3986,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,307.348,0.5,85,632.8,1.4108,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.185,0.5,85,632.8,1.4105,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.205,0.3,85,632.8,1.4037,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.207,0.801,85,632.8,1.4162,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.228,0.899,85,632.8,1.4175,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.236,0,85,632.8,1.3777,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.236,1,85,632.8,1.4188,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.238,0.698,85,632.8,1.4146,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.25,0.399,85,632.8,1.4075,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
XKnoV,308.257,0.2,85,632.8,1.3983,Cui et al. (2014),Refractive index,Liquid,AALcLI,CCCO,propan-1-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
