setid,Weight fraction of 1-allyl-3-methylimidazolium bromide,Weight fraction of rubidium carbonate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ryKJK,0.0162,0.03,298.15,101,1.33817,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0164,0,298.15,101,1.33503,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0165,0.0601,298.15,101,1.34147,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.033,0,298.15,101,1.33763,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.033,0.03,298.15,101,1.34088,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0331,0.06,298.15,101,1.34421,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0499,0,298.15,101,1.34034,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.05,0.06,298.15,101,1.34703,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0501,0.03,298.15,101,1.34366,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0662,0.06,298.15,101,1.34978,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0664,0.0299,298.15,101,1.34636,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
ryKJK,0.0665,0,298.15,101,1.3431,Yin et al. (2013),Refractive index,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide,
