setid,Mole fraction of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ivvdc,0,305.312,100,632.8,1.393,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,306.826,100,632.8,1.3924,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,308.845,100,632.8,1.3916,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,310.41,100,632.8,1.3909,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,311.956,100,632.8,1.3903,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,313.441,100,632.8,1.3897,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,314.699,100,632.8,1.3891,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,316.299,100,632.8,1.3885,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,317.28,100,632.8,1.3881,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,318.55,100,632.8,1.3875,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
ivvdc,0,320.033,100,632.8,1.3869,Wang et al. (2016b),Refractive index,Liquid,AAONVE,CCCCO,butan-1-ol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
