setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
hWyFp,0,101,298.15,1.4362,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.0122,101,298.15,1.4364,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.0223,101,298.15,1.4366,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.0994,101,298.15,1.4372,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.2073,101,298.15,1.4373,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.3192,101,298.15,1.4369,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.42,101,298.15,1.4361,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.5301,101,298.15,1.4352,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.7153,101,298.15,1.4334,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.8449,101,298.15,1.4325,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.9395,101,298.15,1.4321,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,0.992,101,298.15,1.432,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
hWyFp,1,101,298.15,1.4319,Singh and Kumar (2008),Refractive index,Liquid,AAfegG,COCCOCCOCCO,2-[2-(2-methoxyethoxy)ethoxy]ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
