setid,Mole fraction of tris(2-hydroxyethyl) methylammonium methylsulfate,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
bHKqw,0,0.048,298.15,101,1.36013,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.1116,298.15,101,1.361,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.1599,298.15,101,1.3615,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.1761,298.15,101,1.36168,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.2668,298.15,101,1.36247,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.301,298.15,101,1.36266,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.3994,298.15,101,1.36295,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.497,298.15,101,1.3628,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.6122,298.15,101,1.36176,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.7116,298.15,101,1.35974,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.7774,298.15,101,1.35727,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
bHKqw,0,0.8145,298.15,101,1.3554,Arce et al. (2008a),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,ABAxwq,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO,tris(2-hydroxyethyl) methylammonium methylsulfate,
