setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
WtkTF,0,298.15,101,1.3664,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.0524,298.15,101,1.37624,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.1026,298.15,101,1.38348,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.1915,298.15,101,1.39262,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.2935,298.15,101,1.39977,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.4,298.15,101,1.40466,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.5043,298.15,101,1.40837,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.5985,298.15,101,1.41086,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.6999,298.15,101,1.41318,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.8033,298.15,101,1.41505,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.9001,298.15,101,1.41653,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,0.95,298.15,101,1.41717,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
WtkTF,1,298.15,101,1.41787,Pereiro et al. (2006b),Refractive index,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,
