setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: phenol,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
VgQGl,293.15,101,3,1.5486,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,298.15,101,3,1.5471,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,303.15,101,3,1.5452,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,308.15,101,3,1.5436,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,313.15,101,3,1.542,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,318.15,101,3,1.5403,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,323.15,101,3,1.5386,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,328.15,101,3,1.5369,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,333.15,101,3,1.5352,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,338.15,101,3,1.5334,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
VgQGl,343.15,101,3,1.5317,Basaiahgari et al. (2017),Refractive index,Liquid,AASFbA,Oc1ccccc1,phenol,AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,,
