setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
HHcUp,0.0268,298.15,101,1.4289,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.0444,298.15,101,1.4296,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.0628,298.15,101,1.4302,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.0851,298.15,101,1.4307,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.103,298.15,101,1.4309,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.1256,298.15,101,1.4312,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.1396,298.15,101,1.4317,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.1656,298.15,101,1.4321,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.1826,298.15,101,1.4328,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
HHcUp,0.2057,298.15,101,1.4336,Shekaari et al. (2011),Refractive index,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,,
