setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
cGEGj,298.15,0,101,1.40021,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.04902,101,1.40943,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.08192,101,1.41494,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.14532,101,1.4245,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.17653,101,1.4286,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.25568,101,1.43775,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.33862,101,1.44563,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.44725,101,1.45393,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.54527,101,1.45997,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.64658,101,1.46513,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.75617,101,1.46976,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.82064,101,1.47212,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.88681,101,1.47434,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,0.95105,101,1.47628,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,298.15,1,101,1.47756,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0,101,1.39612,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.04902,101,1.40551,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.08192,101,1.41113,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.14532,101,1.42087,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.17653,101,1.42504,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.25568,101,1.43436,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.33862,101,1.44239,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.44725,101,1.45086,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.54527,101,1.45703,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.64658,101,1.46231,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.75617,101,1.46705,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.82064,101,1.46947,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.88681,101,1.47173,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,0.95105,101,1.47369,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,308.15,1,101,1.47498,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0,101,1.39211,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.04902,101,1.40167,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.08192,101,1.40738,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.14532,101,1.41727,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.17653,101,1.42151,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.25568,101,1.43097,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.33862,101,1.43912,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.44725,101,1.44772,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.54527,101,1.45401,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.64658,101,1.4594,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.75617,101,1.46425,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.82064,101,1.46672,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
cGEGj,318.15,0.88681,101,1.46903,Reddy et al. (2016c),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,,
