setid,Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Wavelength, A",Refractive index,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
vnSjV,0,298.206,94,632.8,1.3736,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,300.173,94,632.8,1.3728,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,302.197,94,632.8,1.3719,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,304.243,94,632.8,1.371,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,306.217,94,632.8,1.3701,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,308.223,94,632.8,1.3693,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,310.242,94,632.8,1.3684,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0,312.201,94,632.8,1.3675,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0.1,310.49,94,632.8,1.3838,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
vnSjV,0.1,311.504,94,632.8,1.3834,Guo et al. (2017a),Refractive index,Liquid,AALcwx,CC(C)O,propan-2-ol,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,
