setid,"Temperature, K","Pressure, kPa","Mole fraction of 2,2,2-trifluoroacetamide",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TVHPm,288.15,101.3,0.111,1.4913,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
TVHPm,298.15,101.3,0.111,1.4849,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
TVHPm,308.15,101.3,0.111,1.4824,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
TVHPm,318.15,101.3,0.111,1.4782,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
TVHPm,328.15,101.3,0.111,1.4745,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
TVHPm,338.15,101.3,0.111,1.4737,Kareem et al. (2010),Refractive index,Liquid,AAVmzJ,NC(=O)C(F)(F)F,"2,2,2-trifluoroacetamide",ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,,,,
