setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of cesium sulfate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
RbuJi,298.2,0,0.644,100,1.40913,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.0329,0.609,100,1.41037,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.0778,0.538,100,1.41153,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.1371,0.457,100,1.41374,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.2164,0.357,100,1.41747,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.3236,0.231,100,1.42516,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.445,0.118,100,1.43751,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.5625,0.045,100,1.4529,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.6627,0.015,100,1.4699,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.7529,0.0054,100,1.489,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,298.2,0.8373,0.0046,100,1.50923,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0,0.656,100,1.40999,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0.0344,0.61,100,1.40954,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0.0799,0.532,100,1.41074,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0.1425,0.435,100,1.41297,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0.22,0.332,100,1.41661,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
RbuJi,308.2,0.3636,0.151,100,1.42416,Li et al. (2019e),Refractive index,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water,
