setid,"Temperature, K",Mole fraction of water,Mole fraction of 1-ethyl-3-methylimidazolium bromide,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
znswX,298.2,0.2117,0.1535,100,1.4385,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.2248,0.3029,100,1.4785,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.2416,0.2508,100,1.464,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.2573,0.2025,100,1.453,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.29,0.1011,100,1.4255,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.3528,0.294,100,1.4915,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.4049,0.2414,100,1.4795,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.4054,0.1891,100,1.4575,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.4349,0.1365,100,1.441,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
znswX,298.2,0.4431,0.1083,100,1.426,Khoshalhan-Rastekenari et al. (2017),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,
