setid,Mole fraction of water,Mole fraction of ethanol,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
UrgZd,0.099,0.4116,100,298.15,1.45547,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1162,0.3097,100,298.15,1.46277,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.119,0.7142,100,298.15,1.41078,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1334,0.2074,100,298.15,1.46879,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1385,0.8266,100,298.15,1.37463,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1512,0.1018,100,298.15,1.47397,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1652,0.6032,100,298.15,1.42503,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.1844,0.6995,100,298.15,1.40033,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.2083,0.4999,100,298.15,1.43624,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.2088,0.7386,100,298.15,1.38184,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.2475,0.5968,100,298.15,1.4119,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.2497,0.4003,100,298.15,1.44555,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.2925,0.2977,100,298.15,1.45368,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3108,0.4936,100,298.15,1.42247,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3341,0.1977,100,298.15,1.46062,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3595,0.55,100,298.15,1.39703,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3694,0.3982,100,298.15,1.4314,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3697,0.6047,100,298.15,1.37434,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3754,0.0984,100,298.15,1.46636,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.3933,0.5579,100,298.15,1.38377,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.4312,0.2974,100,298.15,1.43994,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.4474,0.44,100,298.15,1.40571,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.4837,0.5094,100,298.15,1.36644,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.4839,0.4561,100,298.15,1.38933,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
UrgZd,0.4914,0.1993,100,298.15,1.44719,Gomez et al. (2008),Refractive index,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate",
