setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
povKD,298.15,0.1,101,1.408,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.1999,101,1.4496,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.3,101,1.4706,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.3998,101,1.483,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.5002,101,1.4929,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.5997,101,1.5031,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.7005,101,1.5102,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.7998,101,1.5157,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,298.15,0.8913,101,1.5181,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.1,101,1.40576,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.1999,101,1.44739,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.3,101,1.4689,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.3998,101,1.48126,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.5002,101,1.49135,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.5997,101,1.50103,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
povKD,303.15,0.7005,101,1.50843,Yu et al. (2012),Refractive index,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,,
