setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
EXAMu,298.15,0.00148,100,1.5049,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,298.15,0.00277,100,1.5045,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,298.15,0.00434,100,1.5041,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,298.15,0.0055,100,1.5037,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,298.15,0.00719,100,1.5033,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,303.15,0.00148,100,1.5036,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,303.15,0.00277,100,1.5032,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,303.15,0.00434,100,1.5028,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,303.15,0.0055,100,1.5024,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
EXAMu,303.15,0.00719,100,1.5019,Pan et al. (2017a),Refractive index,Liquid,AAqcec,CC[n+]1ccn(CCOC)c1.N#C[N-]C#N,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,AADYJk,O,water,,,,
