setid,"Temperature, K","Pressure, kPa",Mole fraction of methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
sctSj,283.15,100,0.5,1.51741,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,288.15,100,0.5,1.51598,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,293.15,100,0.5,1.51485,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,298.15,100,0.5,1.51362,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,303.15,100,0.5,1.51219,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,308.15,100,0.5,1.51102,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,313.15,100,0.5,1.50978,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,318.15,100,0.5,1.5085,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,323.15,100,0.5,1.50719,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,328.15,100,0.5,1.50603,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,333.15,100,0.5,1.50464,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,338.15,100,0.5,1.50338,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
sctSj,343.15,100,0.5,1.50215,Kazarina et al. (2023a),Refractive index,Liquid,AAutYg,[Cl-].C[N+](CCOCCO)(CCO)CCO,methyl(di(2-hydroxyethyl))(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,,
