setid,Mole fraction of water,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SINUy,0,298.15,100,1.47792,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.0325,298.15,100,1.47746,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.1703,298.15,100,1.47584,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.2989,298.15,100,1.47341,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.4104,298.15,100,1.47032,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.4774,298.15,100,1.46814,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.5886,298.15,100,1.463,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.6859,298.15,100,1.45603,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.7856,298.15,100,1.44395,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.8899,298.15,100,1.41842,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,0.9466,298.15,100,1.38937,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
SINUy,1,298.15,100,1.33251,Gonzalez et al. (2008a),Refractive index,Liquid,AADYJk,O,water,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,
