setid,"MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
xWQBd,0,0,298.15,101,1.3326,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0,0.0909,298.15,101,1.3357,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0,0.1797,298.15,101,1.3382,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0,0.267,298.15,101,1.3407,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0,0.3564,298.15,101,1.3433,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.0489,0.1797,298.15,101,1.3395,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.0505,0.0909,298.15,101,1.3365,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.0535,0.3564,298.15,101,1.3453,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.0566,0.267,298.15,101,1.3425,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1029,0.0909,298.15,101,1.3375,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.104,0.1797,298.15,101,1.3405,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.105,0.267,298.15,101,1.3434,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1052,0.3564,298.15,101,1.3463,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1173,0,298.15,101,1.3348,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1402,0,298.15,101,1.3353,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1476,0.1797,298.15,101,1.3413,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1488,0.0909,298.15,101,1.3385,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.151,0.3564,298.15,101,1.3472,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1517,0.267,298.15,101,1.3443,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1894,0,298.15,101,1.3363,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1975,0.0909,298.15,101,1.3394,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1989,0.1797,298.15,101,1.3424,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.1994,0.267,298.15,101,1.3452,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2007,0.3564,298.15,101,1.3482,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2421,0.1797,298.15,101,1.3432,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2489,0.0909,298.15,101,1.3405,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2511,0.267,298.15,101,1.3462,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2512,0,298.15,101,1.3375,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2519,0.3564,298.15,101,1.3491,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2892,0.1797,298.15,101,1.3441,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2948,0.3564,298.15,101,1.3499,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.2973,0,298.15,101,1.3384,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
xWQBd,0.3008,0.267,298.15,101,1.3471,Shekaari and Jebali (2010b),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,
