setid,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
TGTIv,303.15,101.325,1.4685,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,308.15,101.325,1.4669,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,313.15,101.325,1.4653,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,318.15,101.325,1.4638,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,323.15,101.325,1.4622,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,328.15,101.325,1.4607,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,333.15,101.325,1.4591,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,338.15,101.325,1.4576,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,343.15,101.325,1.4561,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,348.15,101.325,1.4546,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
TGTIv,353.15,101.325,1.4531,Seki et al. (2019),Refractive index,Liquid,ABLPzJ,CCCC[N+]1(C)CCCC1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,1-butyl-1-methylpyrrolidinium bis(oxalato)borate,,,,,,,
