setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ByDRB,0.0517,101,298.15,1.37489,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.0818,101,298.15,1.38179,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.1822,101,298.15,1.39805,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.2779,101,298.15,1.40778,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.378,101,298.15,1.41488,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.46,101,298.15,1.41926,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.5474,101,298.15,1.42304,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.5537,101,298.15,1.42326,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.5636,101,298.15,1.42362,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.6203,101,298.15,1.4256,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.662,101,298.15,1.42683,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.7749,101,298.15,1.42973,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
ByDRB,0.9286,101,298.15,1.43293,Arce et al. (2006b),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,
