setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
paxtN,293.15,0.0974,100,1.4006,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.21,100,1.4087,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.31,100,1.4116,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.4044,100,1.4124,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.5634,100,1.413,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.6481,100,1.4128,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.7387,100,1.4125,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.845,100,1.4124,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,293.15,0.9316,100,1.4119,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,298.15,0.0974,100,1.3969,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,298.15,0.21,100,1.4034,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
paxtN,298.15,0.31,100,1.4056,Vaid et al. (2015b),Refractive index,Liquid,AALTAi,CCCN,propan-1-amine,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,
