setid,"Solvent: MolaLity of trimethylbenzylammonium chloride, mol/kg","Temperature, K","MolaLity of Tartrazine, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
kyAnM,0.001,298.15,0,101.3,1.332,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.01,101.3,1.3323,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.025,101.3,1.3324,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.04,101.3,1.3327,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.055,101.3,1.333,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.07,101.3,1.3334,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,298.15,0.085,101.3,1.3338,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0,101.3,1.3315,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.01,101.3,1.3317,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.025,101.3,1.3319,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.04,101.3,1.3322,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.055,101.3,1.3326,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.07,101.3,1.333,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
kyAnM,0.001,308.15,0.085,101.3,1.3334,Roy et al. (2024),Refractive index,Liquid,ABynGz,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Tartrazine,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AADYJk,O,water,
